지점명,주소,위도,경도
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),37.488585,127.032415
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.0296885
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),37.510015,127.063864
논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.032262
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.5173623,127.0232957
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072
